NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000,0.01
Abbeville County - 45001,County,2006-2010,0.013999999999999999
Abbeville County - 45001,County,2013-2017,0.009000000000000001
Acadia Parish - 22001,County,2000,0.004
Acadia Parish - 22001,County,2006-2010,0.006999999999999999
Acadia Parish - 22001,County,2013-2017,0.015
Accomack County - 51001,County,2000,0.042
Accomack County - 51001,County,2006-2010,0.06
Accomack County - 51001,County,2013-2017,0.07
Ada County - 16001,County,2000,0.043
Ada County - 16001,County,2006-2010,0.057999999999999996
Ada County - 16001,County,2013-2017,0.057999999999999996
Adair County - 19001,County,2000,0.006999999999999999
Adair County - 21001,County,2000,0.006
Adair County - 29001,County,2000,0.02
Adair County - 40001,County,2000,0.013999999999999999
Adair County - 19001,County,2006-2010,0.005
Adair County - 21001,County,2006-2010,0.006999999999999999
Adair County - 29001,County,2006-2010,0.025
Adair County - 40001,County,2006-2010,0.021
Adair County - 19001,County,2013-2017,0.013000000000000001
Adair County - 21001,County,2013-2017,0.009000000000000001
Adair County - 29001,County,2013-2017,0.039
Adair County - 40001,County,2013-2017,0.019
Adams County - 08001,County,2000,0.125
Adams County - 16003,County,2000,0.017
Adams County - 17001,County,2000,0.008
Adams County - 18001,County,2000,0.011000000000000001
Adams County - 19003,County,2000,0.002
Adams County - 28001,County,2000,0.013999999999999999
Adams County - 31001,County,2000,0.044000000000000004
Adams County - 38001,County,2000,0.015
Adams County - 39001,County,2000,0.002
Adams County - 42001,County,2000,0.034
Adams County - 53001,County,2000,0.22899999999999998
Adams County - 55001,County,2000,0.023
Adams County - 08001,County,2006-2010,0.151
Adams County - 16003,County,2006-2010,0.01
Adams County - 17001,County,2006-2010,0.011000000000000001
Adams County - 18001,County,2006-2010,0.009000000000000001
Adams County - 19003,County,2006-2010,0.003
Adams County - 28001,County,2006-2010,0.008
Adams County - 31001,County,2006-2010,0.049
Adams County - 38001,County,2006-2010,0.009000000000000001
Adams County - 39001,County,2006-2010,0.004
Adams County - 42001,County,2006-2010,0.04
Adams County - 53001,County,2006-2010,0.242
Adams County - 55001,County,2006-2010,0.026000000000000002
Adams County - 08001,County,2013-2017,0.153
Adams County - 16003,County,2013-2017,0.018000000000000002
Adams County - 17001,County,2013-2017,0.017
Adams County - 18001,County,2013-2017,0.009000000000000001
Adams County - 19003,County,2013-2017,0.009000000000000001
Adams County - 28001,County,2013-2017,0.086
