Type,TimeFrame,Data,NameFIPS
State,2000,0.02,Alabama 01
State,2006-2010,0.034,Alabama 01
State,2013-2017,0.035,Alabama 01
State,2000,0.059,Alaska 02
State,2006-2010,0.072,Alaska 02
State,2013-2017,0.076,Alaska 02
State,2000,0.128,Arizona 04
State,2006-2010,0.142,Arizona 04
State,2013-2017,0.134,Arizona 04
State,2000,0.028,Arkansas 05
State,2006-2010,0.043,Arkansas 05
State,2013-2017,0.047,Arkansas 05
State,2000,0.262,California 06
State,2006-2010,0.272,California 06
State,2013-2017,0.27,California 06
State,2000,0.086,Colorado 08
State,2006-2010,0.098,Colorado 08
State,2013-2017,0.098,Colorado 08
State,2000,0.109,Connecticut 09
State,2006-2010,0.132,Connecticut 09
State,2013-2017,0.142,Connecticut 09
State,2000,0.057,Delaware 10
State,2006-2010,0.082,Delaware 10
State,2013-2017,0.091,Delaware 10
State,2000,0.129,District of Columbia 11
State,2006-2010,0.13,District of Columbia 11
State,2013-2017,0.14,District of Columbia 11
State,2000,0.167,Florida 12
State,2006-2010,0.192,Florida 12
State,2013-2017,0.202,Florida 12
State,2000,0.071,Georgia 13
State,2006-2010,0.096,Georgia 13
State,2013-2017,0.1,Georgia 13
State,2000,0.175,Hawaii 15
State,2006-2010,0.177,Hawaii 15
State,2013-2017,0.181,Hawaii 15
State,2000,0.05,Idaho 16
State,2006-2010,0.059,Idaho 16
State,2013-2017,0.059,Idaho 16
State,2000,0.123,Illinois 17
State,2006-2010,0.136,Illinois 17
State,2013-2017,0.14,Illinois 17
State,2000,0.031,Indiana 18
State,2006-2010,0.044,Indiana 18
State,2013-2017,0.05,Indiana 18
State,2000,0.031,Iowa 19
State,2006-2010,0.041,Iowa 19
State,2013-2017,0.05,Iowa 19
State,2000,0.05,Kansas 20
State,2006-2010,0.063,Kansas 20
State,2013-2017,0.07,Kansas 20
State,2000,0.02,Kentucky 21
State,2006-2010,0.031,Kentucky 21
State,2013-2017,0.036,Kentucky 21
State,2000,0.026,Louisiana 22
State,2006-2010,0.036,Louisiana 22
State,2013-2017,0.042,Louisiana 22
State,2000,0.029,Maine 23
State,2006-2010,0.033,Maine 23
State,2013-2017,0.036,Maine 23
State,2000,0.098,Maryland 24
State,2006-2010,0.132,Maryland 24
State,2013-2017,0.149,Maryland 24
State,2000,0.122,Massachusetts 25
