Type,TimeFrame,Data,NameFIPS
State,2010-18,40582,Alabama 01
State,2010-18,-32882,Alaska 02
State,2010-18,501808,Arizona 04
State,2010-18,30893,Arkansas 05
State,2010-18,332466,California 06
State,2010-18,397584,Colorado 08
State,2010-18,-55507,Connecticut 09
State,2010-18,46930,Delaware 10
State,2010-18,59763,District of Columbia 11
State,2010-18,2200023,Florida 12
State,2010-18,380538,Georgia 13
State,2010-18,-2178,Hawaii 15
State,2010-18,102383,Idaho 16
State,2010-18,-511722,Illinois 17
State,2010-18,25913,Indiana 18
State,2010-18,25562,Iowa 19
State,2010-18,-52144,Kansas 20
State,2010-18,37446,Kentucky 21
State,2010-18,-39464,Louisiana 22
State,2010-18,19321,Maine 23
State,2010-18,48332,Maryland 24
State,2010-18,211948,Massachusetts 25
State,2010-18,-39087,Michigan 26
State,2010-18,82766,Minnesota 27
State,2010-18,-46342,Mississippi 28
State,2010-18,-1699,Missouri 29
State,2010-18,49343,Montana 30
State,2010-18,17361,Nebraska 31
State,2010-18,223774,Nevada 32
State,2010-18,32043,New Hampshire 33
State,2010-18,-138528,New Jersey 34
State,2010-18,-37112,New Mexico 35
State,2010-18,-519721,New York 36
State,2010-18,534754,North Carolina 37
State,2010-18,47945,North Dakota 38
State,2010-18,-29957,Ohio 39
State,2010-18,74014,Oklahoma 40
State,2010-18,265357,Oregon 41
State,2010-18,19098,Pennsylvania 42
State,2010-18,-5119,Rhode Island 44
State,2010-18,354167,South Carolina 45
State,2010-18,28464,South Dakota 46
State,2010-18,286325,Tennessee 47
State,2010-18,1789174,Texas 48
State,2010-18,111701,Utah 49
State,2010-18,-1435,Vermont 50
State,2010-18,189738,Virginia 51
State,2010-18,508663,Washington 53
State,2010-18,-28908,West Virginia 54
State,2010-18,-9437,Wisconsin 55
State,2010-18,-9402,Wyoming 56
County,2010-18,167,Autauga County 01001
County,2010-18,32839,Baldwin County 01003
County,2010-18,-2272,Barbour County 01005
County,2010-18,-507,Bibb County 01007
County,2010-18,21,Blount County 01009
County,2010-18,-824,Bullock County 01011
County,2010-18,-1080,Butler County 01013
County,2010-18,-3557,Calhoun County 01015
County,2010-18,-17,Chambers County 01017
County,2010-18,926,Cherokee County 01019
County,2010-18,84,Chilton County 01021
County,2010-18,-693,Choctaw County 01023
County,2010-18,-1711,Clarke County 01025
County,2010-18,-280,Clay County 01027
County,2010-18,99,Cleburne County 01029
County,2010-18,651,Coffee County 01031
County,2010-18,1030,Colbert County 01033
County,2010-18,-681,Conecuh County 01035
County,2010-18,-720,Coosa County 01037
County,2010-18,-231,Covington County 01039
County,2010-18,164,Crenshaw County 01041
County,2010-18,2998,Cullman County 01043
County,2010-18,-2741,Dale County 01045
County,2010-18,-5484,Dallas County 01047
County,2010-18,-249,DeKalb County 01049
County,2010-18,895,Elmore County 01051
County,2010-18,-1335,Escambia County 01053
County,2010-18,-227,Etowah County 01055
County,2010-18,-304,Fayette County 01057
County,2010-18,-633,Franklin County 01059
County,2010-18,-13,Geneva County 01061
County,2010-18,-707,Greene County 01063
County,2010-18,-1110,Hale County 01065
County,2010-18,231,Henry County 01067
County,2010-18,1243,Houston County 01069
County,2010-18,-416,Jackson County 01071
County,2010-18,-12015,Jefferson County 01073
County,2010-18,-235,Lamar County 01075
County,2010-18,1167,Lauderdale County 01077
County,2010-18,-1092,Lawrence County 01079
County,2010-18,16523,Lee County 01081
County,2010-18,10794,Limestone County 01083
County,2010-18,-1314,Lowndes County 01085
County,2010-18,-2753,Macon County 01087
County,2010-18,20845,Madison County 01089
County,2010-18,-1764,Marengo County 01091
County,2010-18,-191,Marion County 01093
County,2010-18,1294,Marshall County 01095
County,2010-18,-9535,Mobile County 01097
County,2010-18,-1643,Monroe County 01099
County,2010-18,-12165,Montgomery County 01101
County,2010-18,-1587,Morgan County 01103
County,2010-18,-1308,Perry County 01105
County,2010-18,328,Pickens County 01107
County,2010-18,-83,Pike County 01109
County,2010-18,158,Randolph County 01111
County,2010-18,2193,Russell County 01113
County,2010-18,4015,St. Clair County 01115
County,2010-18,11703,Shelby County 01117
County,2010-18,-947,Sumter County 01119
County,2010-18,-1169,Talladega County 01121
County,2010-18,-364,Tallapoosa County 01123
County,2010-18,7750,Tuscaloosa County 01125
County,2010-18,-1554,Walker County 01127
County,2010-18,-974,Washington County 01129
County,2010-18,-885,Wilcox County 01131
County,2010-18,-166,Winston County 01133
County,2010-18,284,Aleutians East Borough 02013
County,2010-18,6,Aleutians West Census Area 02016
County,2010-18,-25535,Anchorage Municipality 02020
