NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000-10,-0.035
Abbeville County - 45001,County,2010-18,-0.03
Acadia Parish - 22001,County,2000-10,0.052000000000000005
Acadia Parish - 22001,County,2010-18,0.005
Accomack County - 51001,County,2000-10,-0.133
Accomack County - 51001,County,2010-18,-0.022000000000000002
Ada County - 16001,County,2000-10,0.297
Ada County - 16001,County,2010-18,0.195
Adair County - 19001,County,2000-10,-0.066
Adair County - 21001,County,2000-10,0.083
Adair County - 29001,County,2000-10,0.027000000000000003
Adair County - 40001,County,2000-10,0.081
Adair County - 19001,County,2010-18,-0.08
Adair County - 21001,County,2010-18,0.024
Adair County - 29001,County,2010-18,-0.011000000000000001
Adair County - 40001,County,2010-18,-0.028999999999999998
Adams County - 08001,County,2000-10,0.265
Adams County - 16003,County,2000-10,0.139
Adams County - 17001,County,2000-10,-0.015
Adams County - 18001,County,2000-10,0.025
Adams County - 19003,County,2000-10,-0.10099999999999999
Adams County - 28001,County,2000-10,-0.049
Adams County - 31001,County,2000-10,0.006
Adams County - 38001,County,2000-10,-0.08800000000000001
Adams County - 39001,County,2000-10,0.045
Adams County - 42001,County,2000-10,0.11
Adams County - 53001,County,2000-10,0.142
Adams County - 55001,County,2000-10,0.042
Adams County - 08001,County,2010-18,0.154
Adams County - 16003,County,2010-18,0.073
Adams County - 17001,County,2010-18,-0.022000000000000002
Adams County - 18001,County,2010-18,0.034
Adams County - 19003,County,2010-18,-0.094
Adams County - 28001,County,2010-18,-0.042
Adams County - 31001,County,2010-18,0.006
Adams County - 38001,County,2010-18,-0.024
Adams County - 39001,County,2010-18,-0.028999999999999998
Adams County - 42001,County,2010-18,0.013000000000000001
Adams County - 53001,County,2010-18,0.052000000000000005
Adams County - 55001,County,2010-18,-0.026000000000000002
Addison County - 50001,County,2000-10,0.023
Addison County - 50001,County,2010-18,0.004
Aiken County - 45003,County,2000-10,0.125
Aiken County - 45003,County,2010-18,0.055
Aitkin County - 27001,County,2000-10,0.061
Aitkin County - 27001,County,2010-18,-0.019
Alabama - 01,State,2000-10,0.075
Alabama - 01,State,2010-18,0.021
Alachua County - 12001,County,2000-10,0.133
Alachua County - 12001,County,2010-18,0.09
Alamance County - 37001,County,2000-10,0.152
Alamance County - 37001,County,2010-18,0.099
Alameda County - 06001,County,2000-10,0.044000000000000004
Alameda County - 06001,County,2010-18,0.102
Alamosa County - 08003,County,2000-10,0.065
Alamosa County - 08003,County,2010-18,0.047
Alaska - 02,State,2000-10,0.13699999999999998
Alaska - 02,State,2010-18,0.033
Albany County - 36001,County,2000-10,0.03
Albany County - 56001,County,2000-10,0.141
Albany County - 36001,County,2010-18,0.01
Albany County - 56001,County,2010-18,0.059000000000000004
Albemarle County - 51003,County,2000-10,0.188
Albemarle County - 51003,County,2010-18,0.096
Alcona County - 26001,County,2000-10,-0.069
Alcona County - 26001,County,2010-18,-0.047
Alcorn County - 28003,County,2000-10,0.07200000000000001
Alcorn County - 28003,County,2010-18,-0.005
Aleutians East Borough - 02013,County,2000-10,0.17600000000000002
Aleutians East Borough - 02013,County,2010-18,0.11
Aleutians West Census Area - 02016,County,2000-10,0.016
Aleutians West Census Area - 02016,County,2010-18,0.028999999999999998
Alexander County - 17003,County,2000-10,-0.153
Alexander County - 37003,County,2000-10,0.102
Alexander County - 17003,County,2010-18,-0.262
Alexander County - 37003,County,2010-18,0.003
Alexandria city - 51510,County,2000-10,0.08900000000000001
Alexandria city - 51510,County,2010-18,0.141
Alfalfa County - 40003,County,2000-10,-0.075
Alfalfa County - 40003,County,2010-18,0.023
Alger County - 26003,County,2000-10,-0.024
Alger County - 26003,County,2010-18,-0.05
Allamakee County - 19005,County,2000-10,-0.02
Allamakee County - 19005,County,2010-18,-0.038
Allegan County - 26005,County,2000-10,0.053
Allegan County - 26005,County,2010-18,0.052000000000000005
Allegany County - 24001,County,2000-10,0.002
Allegany County - 36003,County,2000-10,-0.017
Allegany County - 24001,County,2010-18,-0.053
Allegany County - 36003,County,2010-18,-0.052000000000000005
Alleghany County - 37005,County,2000-10,0.044000000000000004
Alleghany County - 51005,County,2000-10,-0.059000000000000004
Alleghany County - 37005,County,2010-18,0.002
Alleghany County - 51005,County,2010-18,-0.08
Allegheny County - 42003,County,2000-10,-0.044000000000000004
Allegheny County - 42003,County,2010-18,-0.005
Allen County - 18003,County,2000-10,0.07
Allen County - 20001,County,2000-10,-0.07200000000000001
Allen County - 21003,County,2000-10,0.125
Allen County - 39003,County,2000-10,-0.021
Allen County - 18003,County,2010-18,0.055
Allen County - 20001,County,2010-18,-0.069
Allen County - 21003,County,2010-18,0.054000000000000006
Allen County - 39003,County,2010-18,-0.035
Allen Parish - 22003,County,2000-10,0.012
Allen Parish - 22003,County,2010-18,-0.004
Allendale County - 45005,County,2000-10,-0.075
Allendale County - 45005,County,2010-18,-0.14
Alpena County - 26007,County,2000-10,-0.055999999999999994
Alpena County - 26007,County,2010-18,-0.039
Alpine County - 06003,County,2000-10,-0.04
Alpine County - 06003,County,2010-18,-0.052000000000000005
Amador County - 06005,County,2000-10,0.078
Amador County - 06005,County,2010-18,0.04
Amelia County - 51007,County,2000-10,0.114
Amelia County - 51007,County,2010-18,0.021
Amherst County - 51009,County,2000-10,0.017
Amherst County - 51009,County,2010-18,-0.022000000000000002
Amite County - 28005,County,2000-10,-0.031
Amite County - 28005,County,2010-18,-0.061
Anchorage Municipality - 02020,County,2000-10,0.125
Anchorage Municipality - 02020,County,2010-18,-0.006
Anderson County - 20003,County,2000-10,0.001
Anderson County - 21005,County,2000-10,0.12
Anderson County - 45007,County,2000-10,0.125
Anderson County - 47001,County,2000-10,0.053
Anderson County - 48001,County,2000-10,0.062
Anderson County - 20003,County,2010-18,-0.027999999999999997
Anderson County - 21005,County,2010-18,0.055999999999999994
Anderson County - 45007,County,2010-18,0.071
Anderson County - 47001,County,2010-18,0.018000000000000002
Anderson County - 48001,County,2010-18,-0.008
Andrew County - 29003,County,2000-10,0.05
Andrew County - 29003,County,2010-18,0.015
Andrews County - 48003,County,2000-10,0.147
Andrews County - 48003,County,2010-18,0.221
Androscoggin County - 23001,County,2000-10,0.037000000000000005
