Type,TimeFrame,Data,NameFIPS
State,2000,4452173,Alabama 01
State,2001,4467634,Alabama 01
State,2002,4480089,Alabama 01
State,2003,4503491,Alabama 01
State,2004,4530729,Alabama 01
State,2005,4569805,Alabama 01
State,2006,4628981,Alabama 01
State,2007,4672840,Alabama 01
State,2008,4718206,Alabama 01
State,2009,4757938,Alabama 01
State,2010,4785448,Alabama 01
State,2011,4798834,Alabama 01
State,2012,4815564,Alabama 01
State,2013,4830460,Alabama 01
State,2014,4842481,Alabama 01
State,2015,4853160,Alabama 01
State,2016,4864745,Alabama 01
State,2017,4875120,Alabama 01
State,2018,4887871,Alabama 01
State,2000,627963,Alaska 02
State,2001,633714,Alaska 02
State,2002,642337,Alaska 02
State,2003,648414,Alaska 02
State,2004,659286,Alaska 02
State,2005,666946,Alaska 02
State,2006,675302,Alaska 02
State,2007,680300,Alaska 02
State,2008,687455,Alaska 02
State,2009,698895,Alaska 02
State,2010,713906,Alaska 02
State,2011,722038,Alaska 02
State,2012,730399,Alaska 02
State,2013,737045,Alaska 02
State,2014,736307,Alaska 02
State,2015,737547,Alaska 02
State,2016,741504,Alaska 02
State,2017,739786,Alaska 02
State,2018,737438,Alaska 02
State,2000,5160586,Arizona 04
State,2001,5273477,Arizona 04
State,2002,5396255,Arizona 04
State,2003,5510364,Arizona 04
State,2004,5652404,Arizona 04
State,2005,5839077,Arizona 04
State,2006,6029141,Arizona 04
State,2007,6167681,Arizona 04
State,2008,6280362,Arizona 04
State,2009,6343154,Arizona 04
State,2010,6407774,Arizona 04
State,2011,6473497,Arizona 04
State,2012,6556629,Arizona 04
State,2013,6634999,Arizona 04
State,2014,6733840,Arizona 04
State,2015,6833596,Arizona 04
State,2016,6945452,Arizona 04
State,2017,7048876,Arizona 04
State,2018,7171646,Arizona 04
State,2000,2678588,Arkansas 05
State,2001,2691571,Arkansas 05
State,2002,2705927,Arkansas 05
State,2003,2724816,Arkansas 05
State,2004,2749686,Arkansas 05
State,2005,2781097,Arkansas 05
State,2006,2821761,Arkansas 05
State,2007,2848650,Arkansas 05
State,2008,2874554,Arkansas 05
State,2009,2896843,Arkansas 05
State,2010,2921978,Arkansas 05
State,2011,2940407,Arkansas 05
State,2012,2952109,Arkansas 05
State,2013,2959549,Arkansas 05
State,2014,2967726,Arkansas 05
State,2015,2978407,Arkansas 05
State,2016,2990410,Arkansas 05
State,2017,3002997,Arkansas 05
State,2018,3013825,Arkansas 05
State,2000,33987977,California 06
State,2001,34479458,California 06
State,2002,34871843,California 06
State,2003,35253159,California 06
State,2004,35574576,California 06
State,2005,35827943,California 06
State,2006,36021202,California 06
State,2007,36250311,California 06
State,2008,36604337,California 06
State,2009,36961229,California 06
State,2010,37320903,California 06
State,2011,37641823,California 06
State,2012,37960782,California 06
State,2013,38280824,California 06
State,2014,38625139,California 06
State,2015,38953142,California 06
State,2016,39209127,California 06
State,2017,39399349,California 06
State,2018,39557045,California 06
State,2000,4326921,Colorado 08
State,2001,4425687,Colorado 08
State,2002,4490406,Colorado 08
State,2003,4528732,Colorado 08
State,2004,4575013,Colorado 08
State,2005,4631888,Colorado 08
State,2006,4720423,Colorado 08
State,2007,4803868,Colorado 08
State,2008,4889730,Colorado 08
State,2009,4972195,Colorado 08
State,2010,5048281,Colorado 08
State,2011,5121771,Colorado 08
State,2012,5193721,Colorado 08
State,2013,5270482,Colorado 08
State,2014,5351218,Colorado 08
State,2015,5452107,Colorado 08
State,2016,5540921,Colorado 08
State,2017,5615902,Colorado 08
State,2018,5695564,Colorado 08
State,2000,3411777,Connecticut 09
State,2001,3432835,Connecticut 09
State,2002,3458749,Connecticut 09
State,2003,3484336,Connecticut 09
State,2004,3496094,Connecticut 09
State,2005,3506956,Connecticut 09
State,2006,3517460,Connecticut 09
State,2007,3527270,Connecticut 09
State,2008,3545579,Connecticut 09
State,2009,3561807,Connecticut 09
State,2010,3579125,Connecticut 09
State,2011,3588023,Connecticut 09
State,2012,3594395,Connecticut 09
State,2013,3594915,Connecticut 09
State,2014,3594783,Connecticut 09
State,2015,3587509,Connecticut 09
State,2016,3578674,Connecticut 09
State,2017,3573880,Connecticut 09
State,2018,3572665,Connecticut 09
State,2000,786373,Delaware 10
State,2001,795699,Delaware 10
State,2002,806169,Delaware 10
State,2003,818003,Delaware 10
State,2004,830803,Delaware 10
State,2005,845150,Delaware 10
State,2006,859268,Delaware 10
State,2007,871749,Delaware 10
State,2008,883874,Delaware 10
State,2009,891730,Delaware 10
State,2010,899595,Delaware 10
State,2011,907316,Delaware 10
State,2012,915188,Delaware 10
State,2013,923638,Delaware 10
State,2014,932596,Delaware 10
State,2015,941413,Delaware 10
State,2016,949216,Delaware 10
State,2017,957078,Delaware 10
State,2018,967171,Delaware 10
State,2000,572046,District of Columbia 11
State,2001,574504,District of Columbia 11
State,2002,573158,District of Columbia 11
State,2003,568502,District of Columbia 11
State,2004,567754,District of Columbia 11
State,2005,567136,District of Columbia 11
State,2006,570681,District of Columbia 11
State,2007,574404,District of Columbia 11
State,2008,580236,District of Columbia 11
State,2009,592228,District of Columbia 11
State,2010,605085,District of Columbia 11
State,2011,619602,District of Columbia 11
State,2012,634725,District of Columbia 11
State,2013,650431,District of Columbia 11
State,2014,662513,District of Columbia 11
State,2015,675254,District of Columbia 11
State,2016,686575,District of Columbia 11
State,2017,695691,District of Columbia 11
State,2018,702455,District of Columbia 11
State,2000,16047515,Florida 12
State,2001,16356966,Florida 12
State,2002,16689370,Florida 12
State,2003,17004085,Florida 12
State,2004,17415318,Florida 12
State,2005,17842038,Florida 12
State,2006,18166990,Florida 12
State,2007,18367842,Florida 12
State,2008,18527305,Florida 12
State,2009,18652644,Florida 12
State,2010,18845785,Florida 12
State,2011,19093352,Florida 12
State,2012,19326230,Florida 12
State,2013,19563166,Florida 12
State,2014,19860330,Florida 12
State,2015,20224249,Florida 12
State,2016,20629982,Florida 12
State,2017,20976812,Florida 12
State,2018,21299325,Florida 12
State,2000,8227303,Georgia 13
State,2001,8377038,Georgia 13
State,2002,8508256,Georgia 13
State,2003,8622793,Georgia 13
State,2004,8769252,Georgia 13
State,2005,8925922,Georgia 13
State,2006,9155813,Georgia 13
State,2007,9349988,Georgia 13
State,2008,9504843,Georgia 13
State,2009,9620846,Georgia 13
State,2010,9711810,Georgia 13
State,2011,9801578,Georgia 13
State,2012,9901496,Georgia 13
State,2013,9973326,Georgia 13
State,2014,10069001,Georgia 13
State,2015,10181111,Georgia 13
State,2016,10304763,Georgia 13
State,2017,10413055,Georgia 13
State,2018,10519475,Georgia 13
State,2000,1213519,Hawaii 15
State,2001,1225948,Hawaii 15
State,2002,1239613,Hawaii 15
State,2003,1251154,Hawaii 15
State,2004,1273569,Hawaii 15
State,2005,1292729,Hawaii 15
State,2006,1309731,Hawaii 15
State,2007,1315675,Hawaii 15
State,2008,1332213,Hawaii 15
State,2009,1346717,Hawaii 15
State,2010,1363963,Hawaii 15
State,2011,1379252,Hawaii 15
State,2012,1394905,Hawaii 15
State,2013,1408453,Hawaii 15
State,2014,1414862,Hawaii 15
State,2015,1422484,Hawaii 15
State,2016,1428105,Hawaii 15
State,2017,1424203,Hawaii 15
State,2018,1420491,Hawaii 15
State,2000,1299430,Idaho 16
State,2001,1319962,Idaho 16
State,2002,1340372,Idaho 16
State,2003,1363380,Idaho 16
State,2004,1391802,Idaho 16
State,2005,1428241,Idaho 16
State,2006,1468669,Idaho 16
State,2007,1505105,Idaho 16
State,2008,1534320,Idaho 16
State,2009,1554439,Idaho 16
State,2010,1570773,Idaho 16
