NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,1999,0.13699999999999998
Abbeville County - 45001,County,2006-2010,0.207
Abbeville County - 45001,County,2013-2017,0.22699999999999998
Acadia Parish - 22001,County,1999,0.245
Acadia Parish - 22001,County,2006-2010,0.201
Acadia Parish - 22001,County,2013-2017,0.215
Accomack County - 51001,County,1999,0.18
Accomack County - 51001,County,2006-2010,0.156
Accomack County - 51001,County,2013-2017,0.198
Ada County - 16001,County,1999,0.077
Ada County - 16001,County,2006-2010,0.102
Ada County - 16001,County,2013-2017,0.11800000000000001
Adair County - 19001,County,1999,0.076
Adair County - 21001,County,1999,0.24
Adair County - 29001,County,1999,0.233
Adair County - 40001,County,1999,0.23199999999999998
Adair County - 19001,County,2006-2010,0.106
Adair County - 21001,County,2006-2010,0.213
Adair County - 29001,County,2006-2010,0.26
Adair County - 40001,County,2006-2010,0.265
Adair County - 19001,County,2013-2017,0.095
Adair County - 21001,County,2013-2017,0.215
Adair County - 29001,County,2013-2017,0.262
Adair County - 40001,County,2013-2017,0.308
Adams County - 08001,County,1999,0.08900000000000001
Adams County - 16003,County,1999,0.151
Adams County - 17001,County,1999,0.1
Adams County - 18001,County,1999,0.091
Adams County - 19003,County,1999,0.09300000000000001
Adams County - 28001,County,1999,0.259
Adams County - 31001,County,1999,0.09300000000000001
Adams County - 38001,County,1999,0.10400000000000001
Adams County - 39001,County,1999,0.174
Adams County - 42001,County,1999,0.071
Adams County - 53001,County,1999,0.182
Adams County - 55001,County,1999,0.10400000000000001
Adams County - 08001,County,2006-2010,0.139
Adams County - 16003,County,2006-2010,0.124
Adams County - 17001,County,2006-2010,0.12300000000000001
Adams County - 18001,County,2006-2010,0.163
Adams County - 19003,County,2006-2010,0.122
Adams County - 28001,County,2006-2010,0.304
Adams County - 31001,County,2006-2010,0.135
Adams County - 38001,County,2006-2010,0.106
Adams County - 39001,County,2006-2010,0.23
Adams County - 42001,County,2006-2010,0.076
Adams County - 53001,County,2006-2010,0.251
Adams County - 55001,County,2006-2010,0.126
Adams County - 08001,County,2013-2017,0.122
Adams County - 16003,County,2013-2017,0.138
Adams County - 17001,County,2013-2017,0.131
Adams County - 18001,County,2013-2017,0.18899999999999997
Adams County - 19003,County,2013-2017,0.11199999999999999
Adams County - 28001,County,2013-2017,0.342
Adams County - 31001,County,2013-2017,0.124
Adams County - 38001,County,2013-2017,0.092
Adams County - 39001,County,2013-2017,0.23800000000000002
Adams County - 42001,County,2013-2017,0.08800000000000001
Adams County - 53001,County,2013-2017,0.231
Adams County - 55001,County,2013-2017,0.13
Addison County - 50001,County,1999,0.086
Addison County - 50001,County,2006-2010,0.113
Addison County - 50001,County,2013-2017,0.078
Aiken County - 45003,County,1999,0.138
Aiken County - 45003,County,2006-2010,0.166
Aiken County - 45003,County,2013-2017,0.16699999999999998
Aitkin County - 27001,County,1999,0.11599999999999999
Aitkin County - 27001,County,2006-2010,0.135
Aitkin County - 27001,County,2013-2017,0.121
Alabama - 01,State,1999,0.161
Alabama - 01,State,2006-2010,0.171
Alabama - 01,State,2013-2017,0.18
Alachua County - 12001,County,1999,0.228
Alachua County - 12001,County,2006-2010,0.23600000000000002
Alachua County - 12001,County,2013-2017,0.233
Alamance County - 37001,County,1999,0.111
Alamance County - 37001,County,2006-2010,0.163
Alamance County - 37001,County,2013-2017,0.17600000000000002
Alameda County - 06001,County,1999,0.11
Alameda County - 06001,County,2006-2010,0.114
Alameda County - 06001,County,2013-2017,0.113
Alamosa County - 08003,County,1999,0.213
Alamosa County - 08003,County,2006-2010,0.24
Alamosa County - 08003,County,2013-2017,0.278
Alaska - 02,State,1999,0.094
Alaska - 02,State,2006-2010,0.095
Alaska - 02,State,2013-2017,0.102
Albany County - 36001,County,1999,0.106
Albany County - 56001,County,1999,0.21
Albany County - 36001,County,2006-2010,0.126
Albany County - 56001,County,2006-2010,0.215
Albany County - 36001,County,2013-2017,0.124
Albany County - 56001,County,2013-2017,0.23
Albemarle County - 51003,County,1999,0.067
Albemarle County - 51003,County,2006-2010,0.081
Albemarle County - 51003,County,2013-2017,0.098
Alcona County - 26001,County,1999,0.126
Alcona County - 26001,County,2006-2010,0.146
Alcona County - 26001,County,2013-2017,0.149
Alcorn County - 28003,County,1999,0.166
Alcorn County - 28003,County,2006-2010,0.191
Alcorn County - 28003,County,2013-2017,0.196
Aleutians East Borough - 02013,County,1999,0.218
Aleutians East Borough - 02013,County,2006-2010,0.10400000000000001
Aleutians East Borough - 02013,County,2013-2017,0.16699999999999998
Aleutians West Census Area - 02016,County,1999,0.11900000000000001
Aleutians West Census Area - 02016,County,2006-2010,
Aleutians West Census Area - 02016,County,2013-2017,0.075
Alexander County - 17003,County,1999,0.261
Alexander County - 37003,County,1999,0.085
Alexander County - 17003,County,2006-2010,
Alexander County - 37003,County,2006-2010,0.15
Alexander County - 17003,County,2013-2017,0.33399999999999996
Alexander County - 37003,County,2013-2017,0.147
Alexandria city - 51510,County,1999,0.08900000000000001
Alexandria city - 51510,County,2006-2010,0.078
Alexandria city - 51510,County,2013-2017,0.105
Alfalfa County - 40003,County,1999,0.13699999999999998
Alfalfa County - 40003,County,2006-2010,0.111
Alfalfa County - 40003,County,2013-2017,0.11199999999999999
Alger County - 26003,County,1999,0.10300000000000001
Alger County - 26003,County,2006-2010,0.12300000000000001
Alger County - 26003,County,2013-2017,0.13
Allamakee County - 19005,County,1999,0.096
Allamakee County - 19005,County,2006-2010,0.11
Allamakee County - 19005,County,2013-2017,0.114
Allegan County - 26005,County,1999,0.073
Allegan County - 26005,County,2006-2010,0.11900000000000001
Allegan County - 26005,County,2013-2017,0.10800000000000001
Allegany County - 24001,County,1999,0.14800000000000002
Allegany County - 36003,County,1999,0.155
Allegany County - 24001,County,2006-2010,0.145
Allegany County - 36003,County,2006-2010,0.165
Allegany County - 24001,County,2013-2017,0.168
Allegany County - 36003,County,2013-2017,0.165
Alleghany County - 37005,County,1999,0.172
Alleghany County - 51005,County,1999,0.071
Alleghany County - 37005,County,2006-2010,
Alleghany County - 51005,County,2006-2010,0.109
Alleghany County - 37005,County,2013-2017,0.21
Alleghany County - 51005,County,2013-2017,0.193
Allegheny County - 42003,County,1999,0.11199999999999999
Allegheny County - 42003,County,2006-2010,0.12300000000000001
Allegheny County - 42003,County,2013-2017,0.125
Allen County - 18003,County,1999,0.091
Allen County - 20001,County,1999,0.149
Allen County - 21003,County,1999,0.17300000000000001
Allen County - 39003,County,1999,0.121
Allen County - 18003,County,2006-2010,0.12300000000000001
Allen County - 20001,County,2006-2010,0.127
Allen County - 21003,County,2006-2010,0.203
Allen County - 39003,County,2006-2010,0.163
Allen County - 18003,County,2013-2017,0.147
Allen County - 20001,County,2013-2017,0.142
Allen County - 21003,County,2013-2017,0.2
Allen County - 39003,County,2013-2017,0.15
Allen Parish - 22003,County,1999,0.19899999999999998
Allen Parish - 22003,County,2006-2010,0.174
Allen Parish - 22003,County,2013-2017,0.166
Allendale County - 45005,County,1999,0.345
Allendale County - 45005,County,2006-2010,
Allendale County - 45005,County,2013-2017,
Alpena County - 26007,County,1999,0.105
Alpena County - 26007,County,2006-2010,0.159
Alpena County - 26007,County,2013-2017,0.15
Alpine County - 06003,County,1999,0.195
Alpine County - 06003,County,2006-2010,
Alpine County - 06003,County,2013-2017,
Amador County - 06005,County,1999,0.092
Amador County - 06005,County,2006-2010,0.08
Amador County - 06005,County,2013-2017,0.106
Amelia County - 51007,County,1999,0.084
Amelia County - 51007,County,2006-2010,0.1
Amelia County - 51007,County,2013-2017,0.13
Amherst County - 51009,County,1999,0.107
Amherst County - 51009,County,2006-2010,0.131
Amherst County - 51009,County,2013-2017,0.134
Amite County - 28005,County,1999,0.226
Amite County - 28005,County,2006-2010,0.276
Amite County - 28005,County,2013-2017,0.228
Anchorage Municipality - 02020,County,1999,0.073
Anchorage Municipality - 02020,County,2006-2010,0.079
Anchorage Municipality - 02020,County,2013-2017,0.081
Anderson County - 20003,County,1999,0.128
Anderson County - 21005,County,1999,0.075
Anderson County - 45007,County,1999,0.12
Anderson County - 47001,County,1999,0.131
Anderson County - 48001,County,1999,0.165
Anderson County - 20003,County,2006-2010,0.124
Anderson County - 21005,County,2006-2010,0.114
Anderson County - 45007,County,2006-2010,0.158
Anderson County - 47001,County,2006-2010,0.165
Anderson County - 48001,County,2006-2010,0.165
Anderson County - 20003,County,2013-2017,0.136
Anderson County - 21005,County,2013-2017,0.12
Anderson County - 45007,County,2013-2017,0.156
Anderson County - 47001,County,2013-2017,0.163
Anderson County - 48001,County,2013-2017,0.157
Andrew County - 29003,County,1999,0.08199999999999999
Andrew County - 29003,County,2006-2010,0.085
Andrew County - 29003,County,2013-2017,0.09
Andrews County - 48003,County,1999,0.16399999999999998
Andrews County - 48003,County,2006-2010,0.171
Andrews County - 48003,County,2013-2017,0.11900000000000001
Androscoggin County - 23001,County,1999,0.111
Androscoggin County - 23001,County,2006-2010,0.14300000000000002
Androscoggin County - 23001,County,2013-2017,0.14300000000000002
Angelina County - 48005,County,1999,0.158
Angelina County - 48005,County,2006-2010,0.17800000000000002
Angelina County - 48005,County,2013-2017,0.191
Anne Arundel County - 24003,County,1999,0.051
Anne Arundel County - 24003,County,2006-2010,0.053
Anne Arundel County - 24003,County,2013-2017,0.061
Anoka County - 27003,County,1999,0.042
Anoka County - 27003,County,2006-2010,0.064
Anoka County - 27003,County,2013-2017,0.066
Anson County - 37007,County,1999,0.17800000000000002
Anson County - 37007,County,2006-2010,0.205
Anson County - 37007,County,2013-2017,0.22699999999999998
Antelope County - 31003,County,1999,0.136
Antelope County - 31003,County,2006-2010,0.114
Antelope County - 31003,County,2013-2017,0.115
Antrim County - 26009,County,1999,0.09
Antrim County - 26009,County,2006-2010,0.155
Antrim County - 26009,County,2013-2017,0.126
