Type,TimeFrame,Data,NameFIPS
State,1999,0.161,Alabama 01
State,2006-2010,0.171,Alabama 01
State,2013-2017,0.18,Alabama 01
State,1999,0.094,Alaska 02
State,2006-2010,0.095,Alaska 02
State,2013-2017,0.102,Alaska 02
State,1999,0.139,Arizona 04
State,2006-2010,0.153,Arizona 04
State,2013-2017,0.17,Arizona 04
State,1999,0.158,Arkansas 05
State,2006-2010,0.18,Arkansas 05
State,2013-2017,0.181,Arkansas 05
State,1999,0.142,California 06
State,2006-2010,0.137,California 06
State,2013-2017,0.151,California 06
State,1999,0.093,Colorado 08
State,2006-2010,0.122,Colorado 08
State,2013-2017,0.115,Colorado 08
State,1999,0.079,Connecticut 09
State,2006-2010,0.092,Connecticut 09
State,2013-2017,0.101,Connecticut 09
State,1999,0.092,Delaware 10
State,2006-2010,0.11,Delaware 10
State,2013-2017,0.121,Delaware 10
State,1999,0.202,District of Columbia 11
State,2006-2010,0.185,District of Columbia 11
State,2013-2017,0.174,District of Columbia 11
State,1999,0.125,Florida 12
State,2006-2010,0.138,Florida 12
State,2013-2017,0.155,Florida 12
State,1999,0.13,Georgia 13
State,2006-2010,0.157,Georgia 13
State,2013-2017,0.169,Georgia 13
State,1999,0.107,Hawaii 15
State,2006-2010,0.096,Hawaii 15
State,2013-2017,0.103,Hawaii 15
State,1999,0.118,Idaho 16
State,2006-2010,0.136,Idaho 16
State,2013-2017,0.145,Idaho 16
State,1999,0.107,Illinois 17
State,2006-2010,0.126,Illinois 17
State,2013-2017,0.135,Illinois 17
State,1999,0.095,Indiana 18
State,2006-2010,0.135,Indiana 18
State,2013-2017,0.146,Indiana 18
State,1999,0.091,Iowa 19
State,2006-2010,0.116,Iowa 19
State,2013-2017,0.12,Iowa 19
State,1999,0.099,Kansas 20
State,2006-2010,0.124,Kansas 20
State,2013-2017,0.128,Kansas 20
State,1999,0.158,Kentucky 21
State,2006-2010,0.177,Kentucky 21
State,2013-2017,0.183,Kentucky 21
State,1999,0.196,Louisiana 22
State,2006-2010,0.181,Louisiana 22
State,2013-2017,0.196,Louisiana 22
State,1999,0.109,Maine 23
State,2006-2010,0.126,Maine 23
State,2013-2017,0.129,Maine 23
State,1999,0.085,Maryland 24
State,2006-2010,0.086,Maryland 24
State,2013-2017,0.097,Maryland 24
State,1999,0.093,Massachusetts 25
State,2006-2010,0.105,Massachusetts 25
State,2013-2017,0.111,Massachusetts 25
State,1999,0.105,Michigan 26
State,2006-2010,0.148,Michigan 26
State,2013-2017,0.156,Michigan 26
State,1999,0.079,Minnesota 27
State,2006-2010,0.106,Minnesota 27
State,2013-2017,0.105,Minnesota 27
State,1999,0.199,Mississippi 28
State,2006-2010,0.212,Mississippi 28
State,2013-2017,0.215,Mississippi 28
State,1999,0.117,Missouri 29
State,2006-2010,0.14,Missouri 29
State,2013-2017,0.146,Missouri 29
State,1999,0.146,Montana 30
State,2006-2010,0.145,Montana 30
State,2013-2017,0.144,Montana 30
State,1999,0.097,Nebraska 31
State,2006-2010,0.118,Nebraska 31
State,2013-2017,0.12,Nebraska 31
State,1999,0.105,Nevada 32
State,2006-2010,0.119,Nevada 32
State,2013-2017,0.142,Nevada 32
State,1999,0.065,New Hampshire 33
State,2006-2010,0.078,New Hampshire 33
State,2013-2017,0.081,New Hampshire 33
State,1999,0.085,New Jersey 34
State,2006-2010,0.091,New Jersey 34
State,2013-2017,0.107,New Jersey 34
State,1999,0.184,New Mexico 35
State,2006-2010,0.184,New Mexico 35
State,2013-2017,0.206,New Mexico 35
State,1999,0.146,New York 36
State,2006-2010,0.142,New York 36
State,2013-2017,0.151,New York 36
State,1999,0.123,North Carolina 37
State,2006-2010,0.155,North Carolina 37
State,2013-2017,0.161,North Carolina 37
State,1999,0.119,North Dakota 38
State,2006-2010,0.123,North Dakota 38
State,2013-2017,0.11,North Dakota 38
State,1999,0.106,Ohio 39
State,2006-2010,0.142,Ohio 39
State,2013-2017,0.149,Ohio 39
State,1999,0.147,Oklahoma 40
State,2006-2010,0.162,Oklahoma 40
State,2013-2017,0.162,Oklahoma 40
State,1999,0.116,Oregon 41
State,2006-2010,0.14,Oregon 41
State,2013-2017,0.149,Oregon 41
State,1999,0.11,Pennsylvania 42
State,2006-2010,0.124,Pennsylvania 42
State,2013-2017,0.131,Pennsylvania 42
State,1999,0.119,Rhode Island 44
State,2006-2010,0.122,Rhode Island 44
State,2013-2017,0.134,Rhode Island 44
State,1999,0.141,South Carolina 45
State,2006-2010,0.164,South Carolina 45
State,2013-2017,0.166,South Carolina 45
State,1999,0.132,South Dakota 46
State,2006-2010,0.137,South Dakota 46
State,2013-2017,0.139,South Dakota 46
State,1999,0.135,Tennessee 47
State,2006-2010,0.165,Tennessee 47
State,2013-2017,0.167,Tennessee 47
State,1999,0.154,Texas 48
State,2006-2010,0.168,Texas 48
State,2013-2017,0.16,Texas 48
State,1999,0.094,Utah 49
State,2006-2010,0.108,Utah 49
State,2013-2017,0.11,Utah 49
State,1999,0.094,Vermont 50
State,2006-2010,0.111,Vermont 50
State,2013-2017,0.114,Vermont 50
State,1999,0.096,Virginia 51
State,2006-2010,0.103,Virginia 51
State,2013-2017,0.112,Virginia 51
State,1999,0.106,Washington 53
State,2006-2010,0.121,Washington 53
State,2013-2017,0.122,Washington 53
State,1999,0.179,West Virginia 54
State,2006-2010,0.174,West Virginia 54
State,2013-2017,0.178,West Virginia 54
State,1999,0.087,Wisconsin 55
State,2006-2010,0.116,Wisconsin 55
State,2013-2017,0.123,Wisconsin 55
State,1999,0.114,Wyoming 56
State,2006-2010,0.098,Wyoming 56
State,2013-2017,0.111,Wyoming 56
County,1999,0.109,Autauga County 01001
County,2006-2010,0.106,Autauga County 01001
County,2013-2017,0.137,Autauga County 01001
County,1999,0.101,Baldwin County 01003
County,2006-2010,0.122,Baldwin County 01003
County,2013-2017,0.118,Baldwin County 01003
County,1999,0.268,Barbour County 01005
County,2006-2010,0.25,Barbour County 01005
County,2013-2017,0.272,Barbour County 01005
County,1999,0.206,Bibb County 01007
County,2006-2010,0.126,Bibb County 01007
County,2013-2017,0.152,Bibb County 01007
County,1999,0.117,Blount County 01009
County,2006-2010,0.134,Blount County 01009
County,2013-2017,0.156,Blount County 01009
County,1999,0.335,Bullock County 01011
County,2006-2010,0.253,Bullock County 01011
County,2013-2017,0.285,Bullock County 01011
County,1999,0.246,Butler County 01013
County,2006-2010,0.25,Butler County 01013
County,2013-2017,0.244,Butler County 01013
County,1999,0.161,Calhoun County 01015
County,2006-2010,0.195,Calhoun County 01015
County,2013-2017,0.186,Calhoun County 01015
County,1999,0.17,Chambers County 01017
County,2006-2010,0.203,Chambers County 01017
County,2013-2017,0.188,Chambers County 01017
County,1999,0.156,Cherokee County 01019
County,2006-2010,0.176,Cherokee County 01019
County,2013-2017,0.161,Cherokee County 01019
County,1999,0.157,Chilton County 01021
County,2006-2010,0.184,Chilton County 01021
County,2013-2017,0.194,Chilton County 01021
County,1999,0.245,Choctaw County 01023
County,2006-2010,0.187,Choctaw County 01023
County,2013-2017,0.223,Choctaw County 01023
County,1999,0.226,Clarke County 01025
County,2006-2010,0.292,Clarke County 01025
County,2013-2017,0.253,Clarke County 01025
County,1999,0.171,Clay County 01027
County,2006-2010,0.188,Clay County 01027
County,2013-2017,0.191,Clay County 01027
County,1999,0.139,Cleburne County 01029
County,2006-2010,0.171,Cleburne County 01029
County,2013-2017,0.191,Cleburne County 01029
County,1999,0.147,Coffee County 01031
County,2006-2010,0.172,Coffee County 01031
County,2013-2017,0.161,Coffee County 01031
County,1999,0.14,Colbert County 01033
County,2006-2010,0.157,Colbert County 01033
County,2013-2017,0.168,Colbert County 01033
County,1999,0.266,Conecuh County 01035
County,2006-2010,0.306,Conecuh County 01035
County,2013-2017,0.264,Conecuh County 01035
County,1999,0.149,Coosa County 01037
County,2006-2010,0.16,Coosa County 01037
County,2013-2017,0.144,Coosa County 01037
County,1999,0.184,Covington County 01039
County,2006-2010,0.19,Covington County 01039
County,2013-2017,0.176,Covington County 01039
County,1999,0.221,Crenshaw County 01041
County,2006-2010,0.177,Crenshaw County 01041
County,2013-2017,0.176,Crenshaw County 01041
County,1999,0.13,Cullman County 01043
County,2006-2010,0.167,Cullman County 01043
County,2013-2017,0.164,Cullman County 01043
County,1999,0.151,Dale County 01045
County,2006-2010,0.148,Dale County 01045
County,2013-2017,0.196,Dale County 01045
County,1999,0.311,Dallas County 01047
County,2006-2010,0.318,Dallas County 01047
County,2013-2017,0.319,Dallas County 01047
County,1999,0.154,DeKalb County 01049
County,2006-2010,0.2,DeKalb County 01049
County,2013-2017,0.215,DeKalb County 01049
County,1999,0.102,Elmore County 01051
County,2006-2010,0.124,Elmore County 01051
County,2013-2017,0.135,Elmore County 01051
County,1999,0.209,Escambia County 01053
County,2006-2010,0.244,Escambia County 01053
County,2013-2017,0.238,Escambia County 01053
County,1999,0.157,Etowah County 01055
County,2006-2010,0.168,Etowah County 01055
County,2013-2017,0.179,Etowah County 01055
County,1999,0.173,Fayette County 01057
County,2006-2010,0.179,Fayette County 01057
County,2013-2017,0.181,Fayette County 01057
County,1999,0.189,Franklin County 01059
County,2006-2010,0.195,Franklin County 01059
County,2013-2017,0.23,Franklin County 01059
County,1999,0.196,Geneva County 01061
County,2006-2010,0.163,Geneva County 01061
County,2013-2017,0.225,Geneva County 01061
County,1999,0.343,Greene County 01063
County,2006-2010,n/a,Greene County 01063
