NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000,0.318
Abbeville County - 45001,County,2001,0.314
Abbeville County - 45001,County,2002,0.311
Abbeville County - 45001,County,2003,0.31
Abbeville County - 45001,County,2004,0.308
Abbeville County - 45001,County,2005,0.308
Abbeville County - 45001,County,2006,0.308
Abbeville County - 45001,County,2007,0.307
Abbeville County - 45001,County,2008,0.311
Abbeville County - 45001,County,2009,0.308
Abbeville County - 45001,County,2010,0.309
Abbeville County - 45001,County,2011,0.308
Abbeville County - 45001,County,2012,0.311
Abbeville County - 45001,County,2013,0.31
Abbeville County - 45001,County,2014,0.312
Abbeville County - 45001,County,2015,0.311
Abbeville County - 45001,County,2016,0.313
Abbeville County - 45001,County,2017,0.31
Abbeville County - 45001,County,2018,0.311
Acadia Parish - 22001,County,2000,0.19899999999999998
Acadia Parish - 22001,County,2001,0.19899999999999998
Acadia Parish - 22001,County,2002,0.19899999999999998
Acadia Parish - 22001,County,2003,0.20199999999999999
Acadia Parish - 22001,County,2004,0.201
Acadia Parish - 22001,County,2005,0.203
Acadia Parish - 22001,County,2006,0.209
Acadia Parish - 22001,County,2007,0.209
Acadia Parish - 22001,County,2008,0.21100000000000002
Acadia Parish - 22001,County,2009,0.213
Acadia Parish - 22001,County,2010,0.213
Acadia Parish - 22001,County,2011,0.215
Acadia Parish - 22001,County,2012,0.21600000000000003
Acadia Parish - 22001,County,2013,0.218
Acadia Parish - 22001,County,2014,0.221
Acadia Parish - 22001,County,2015,0.223
Acadia Parish - 22001,County,2016,0.22399999999999998
Acadia Parish - 22001,County,2017,0.226
Acadia Parish - 22001,County,2018,0.22699999999999998
Accomack County - 51001,County,2000,0.381
Accomack County - 51001,County,2001,0.379
Accomack County - 51001,County,2002,0.381
Accomack County - 51001,County,2003,0.382
Accomack County - 51001,County,2004,0.381
Accomack County - 51001,County,2005,0.379
Accomack County - 51001,County,2006,0.381
Accomack County - 51001,County,2007,0.382
Accomack County - 51001,County,2008,0.387
Accomack County - 51001,County,2009,0.385
Accomack County - 51001,County,2010,0.38799999999999996
Accomack County - 51001,County,2011,0.39299999999999996
Accomack County - 51001,County,2012,0.39299999999999996
Accomack County - 51001,County,2013,0.39299999999999996
Accomack County - 51001,County,2014,0.39299999999999996
Accomack County - 51001,County,2015,0.396
Accomack County - 51001,County,2016,0.397
Accomack County - 51001,County,2017,0.39899999999999997
Accomack County - 51001,County,2018,0.4
Ada County - 16001,County,2000,0.091
Ada County - 16001,County,2001,0.095
Ada County - 16001,County,2002,0.099
Ada County - 16001,County,2003,0.10300000000000001
Ada County - 16001,County,2004,0.10800000000000001
Ada County - 16001,County,2005,0.113
Ada County - 16001,County,2006,0.11900000000000001
Ada County - 16001,County,2007,0.125
Ada County - 16001,County,2008,0.128
Ada County - 16001,County,2009,0.132
Ada County - 16001,County,2010,0.134
Ada County - 16001,County,2011,0.13699999999999998
Ada County - 16001,County,2012,0.138
Ada County - 16001,County,2013,0.14
Ada County - 16001,County,2014,0.14300000000000002
Ada County - 16001,County,2015,0.146
Ada County - 16001,County,2016,0.15
Ada County - 16001,County,2017,0.153
Ada County - 16001,County,2018,0.155
Adair County - 19001,County,2000,0.013999999999999999
Adair County - 21001,County,2000,0.044000000000000004
Adair County - 29001,County,2000,0.052000000000000005
Adair County - 40001,County,2000,0.523
Adair County - 19001,County,2001,0.015
Adair County - 21001,County,2001,0.048
Adair County - 29001,County,2001,0.055999999999999994
Adair County - 40001,County,2001,0.5329999999999999
Adair County - 19001,County,2002,0.015
Adair County - 21001,County,2002,0.048
Adair County - 29001,County,2002,0.059000000000000004
Adair County - 40001,County,2002,0.539
Adair County - 19001,County,2003,0.015
Adair County - 21001,County,2003,0.05
Adair County - 29001,County,2003,0.061
Adair County - 40001,County,2003,0.544
Adair County - 19001,County,2004,0.016
Adair County - 21001,County,2004,0.051
Adair County - 29001,County,2004,0.061
Adair County - 40001,County,2004,0.5489999999999999
Adair County - 19001,County,2005,0.018000000000000002
Adair County - 21001,County,2005,0.053
Adair County - 29001,County,2005,0.064
Adair County - 40001,County,2005,0.556
Adair County - 19001,County,2006,0.02
