FIPS,Name,Type,TimeFrame,Data
01,Alabama,State,2000,4452173
01,Alabama,State,2001,4467634
01,Alabama,State,2002,4480089
01,Alabama,State,2003,4503491
01,Alabama,State,2004,4530729
01,Alabama,State,2005,4569805
01,Alabama,State,2006,4628981
01,Alabama,State,2007,4672840
01,Alabama,State,2008,4718206
01,Alabama,State,2009,4757938
01,Alabama,State,2010,4785448
01,Alabama,State,2011,4798834
01,Alabama,State,2012,4815564
01,Alabama,State,2013,4830460
01,Alabama,State,2014,4842481
01,Alabama,State,2015,4853160
01,Alabama,State,2016,4864745
01,Alabama,State,2017,4875120
01,Alabama,State,2018,4887871
02,Alaska,State,2000,627963
02,Alaska,State,2001,633714
02,Alaska,State,2002,642337
02,Alaska,State,2003,648414
02,Alaska,State,2004,659286
02,Alaska,State,2005,666946
02,Alaska,State,2006,675302
02,Alaska,State,2007,680300
02,Alaska,State,2008,687455
02,Alaska,State,2009,698895
02,Alaska,State,2010,713906
02,Alaska,State,2011,722038
02,Alaska,State,2012,730399
02,Alaska,State,2013,737045
02,Alaska,State,2014,736307
02,Alaska,State,2015,737547
02,Alaska,State,2016,741504
02,Alaska,State,2017,739786
02,Alaska,State,2018,737438
04,Arizona,State,2000,5160586
04,Arizona,State,2001,5273477
04,Arizona,State,2002,5396255
04,Arizona,State,2003,5510364
04,Arizona,State,2004,5652404
04,Arizona,State,2005,5839077
04,Arizona,State,2006,6029141
04,Arizona,State,2007,6167681
04,Arizona,State,2008,6280362
04,Arizona,State,2009,6343154
04,Arizona,State,2010,6407774
04,Arizona,State,2011,6473497
04,Arizona,State,2012,6556629
04,Arizona,State,2013,6634999
04,Arizona,State,2014,6733840
04,Arizona,State,2015,6833596
04,Arizona,State,2016,6945452
04,Arizona,State,2017,7048876
04,Arizona,State,2018,7171646
05,Arkansas,State,2000,2678588
05,Arkansas,State,2001,2691571
05,Arkansas,State,2002,2705927
05,Arkansas,State,2003,2724816
05,Arkansas,State,2004,2749686
05,Arkansas,State,2005,2781097
05,Arkansas,State,2006,2821761
05,Arkansas,State,2007,2848650
05,Arkansas,State,2008,2874554
05,Arkansas,State,2009,2896843
05,Arkansas,State,2010,2921978
05,Arkansas,State,2011,2940407
05,Arkansas,State,2012,2952109
05,Arkansas,State,2013,2959549
05,Arkansas,State,2014,2967726
05,Arkansas,State,2015,2978407
05,Arkansas,State,2016,2990410
05,Arkansas,State,2017,3002997
05,Arkansas,State,2018,3013825
06,California,State,2000,33987977
06,California,State,2001,34479458
06,California,State,2002,34871843
06,California,State,2003,35253159
06,California,State,2004,35574576
06,California,State,2005,35827943
06,California,State,2006,36021202
06,California,State,2007,36250311
06,California,State,2008,36604337
06,California,State,2009,36961229
06,California,State,2010,37320903
06,California,State,2011,37641823
06,California,State,2012,37960782
06,California,State,2013,38280824
06,California,State,2014,38625139
06,California,State,2015,38953142
06,California,State,2016,39209127
06,California,State,2017,39399349
06,California,State,2018,39557045
08,Colorado,State,2000,4326921
08,Colorado,State,2001,4425687
08,Colorado,State,2002,4490406
08,Colorado,State,2003,4528732
08,Colorado,State,2004,4575013
08,Colorado,State,2005,4631888
08,Colorado,State,2006,4720423
08,Colorado,State,2007,4803868
08,Colorado,State,2008,4889730
08,Colorado,State,2009,4972195
08,Colorado,State,2010,5048281
08,Colorado,State,2011,5121771
08,Colorado,State,2012,5193721
08,Colorado,State,2013,5270482
08,Colorado,State,2014,5351218
08,Colorado,State,2015,5452107
08,Colorado,State,2016,5540921
08,Colorado,State,2017,5615902
08,Colorado,State,2018,5695564
09,Connecticut,State,2000,3411777
09,Connecticut,State,2001,3432835
09,Connecticut,State,2002,3458749
09,Connecticut,State,2003,3484336
09,Connecticut,State,2004,3496094
09,Connecticut,State,2005,3506956
09,Connecticut,State,2006,3517460
09,Connecticut,State,2007,3527270
09,Connecticut,State,2008,3545579
09,Connecticut,State,2009,3561807
09,Connecticut,State,2010,3579125
09,Connecticut,State,2011,3588023
09,Connecticut,State,2012,3594395
09,Connecticut,State,2013,3594915
09,Connecticut,State,2014,3594783
09,Connecticut,State,2015,3587509
09,Connecticut,State,2016,3578674
09,Connecticut,State,2017,3573880
09,Connecticut,State,2018,3572665
10,Delaware,State,2000,786373
10,Delaware,State,2001,795699
10,Delaware,State,2002,806169
10,Delaware,State,2003,818003
10,Delaware,State,2004,830803
10,Delaware,State,2005,845150
10,Delaware,State,2006,859268
10,Delaware,State,2007,871749
