NameFIPS,Type,TimeFrame,Data
AFRICA - AFRICA,Sub-Region,2019,4.5
ASIA - ASIA,Sub-Region,2019,2.1
Afghanistan - AF,Country,2019,4.6
Albania - AL,Country,2019,1.8
Algeria - DZ,Country,2019,3.1
Andorra - AD,Country,2019,1.0
Angola - AO,Country,2019,6.2
Antigua and Barbuda - AG,Country,2019,2.0
Argentina - AR,Country,2019,2.3
Armenia - AM,Country,2019,1.6
Australia - AU,Country,2019,1.7
Austria - AT,Country,2019,1.5
Azerbaijan - AZ,Country,2019,1.8
Bahamas - BS,Country,2019,1.8
Bahrain - BH,Country,2019,2.0
Bangladesh - BD,Country,2019,2.1
Barbados - BB,Country,2019,1.6
Belarus - BY,Country,2019,1.6
Belgium - BE,Country,2019,1.6
