NameFIPS,Type,TimeFrame,Data
AFRICA - AFRICA,Sub-Region,2019,65.0
ASIA - ASIA,Sub-Region,2019,75.0
Afghanistan - AF,Country,2019,66.0
Albania - AL,Country,2019,81.0
Algeria - DZ,Country,2019,78.0
Andorra - AD,Country,2019,
Angola - AO,Country,2019,62.0
Antigua and Barbuda - AG,Country,2019,78.0
Argentina - AR,Country,2019,81.0
Armenia - AM,Country,2019,79.0
Australia - AU,Country,2019,85.0
Austria - AT,Country,2019,84.0
Azerbaijan - AZ,Country,2019,78.0
Bahamas - BS,Country,2019,76.0
Bahrain - BH,Country,2019,78.0
Bangladesh - BD,Country,2019,74.0
Barbados - BB,Country,2019,80.0
Belarus - BY,Country,2019,79.0
Belgium - BE,Country,2019,84.0
