NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000,0.253
Abbeville County - 45001,County,2001,0.251
Abbeville County - 45001,County,2002,0.249
Abbeville County - 45001,County,2003,0.245
Abbeville County - 45001,County,2004,0.245
Abbeville County - 45001,County,2005,0.23800000000000002
Abbeville County - 45001,County,2006,0.23800000000000002
Abbeville County - 45001,County,2007,0.237
Abbeville County - 45001,County,2008,0.23600000000000002
Abbeville County - 45001,County,2009,0.23
Abbeville County - 45001,County,2010,0.226
Abbeville County - 45001,County,2011,0.222
Abbeville County - 45001,County,2012,0.221
Abbeville County - 45001,County,2013,0.218
Abbeville County - 45001,County,2014,0.215
Abbeville County - 45001,County,2015,0.212
Abbeville County - 45001,County,2016,0.21
Abbeville County - 45001,County,2017,0.20600000000000002
Abbeville County - 45001,County,2018,0.201
