NameFIPS,Type,TimeFrame,Data
Alabama - 01,State,2000,63299
Alabama - 01,State,2001,60454
Alabama - 01,State,2002,58967
Alabama - 01,State,2003,59552
Alabama - 01,State,2004,59510
Alabama - 01,State,2005,60453
Alabama - 01,State,2006,63232
Alabama - 01,State,2007,64804
Alabama - 01,State,2008,64546
Alabama - 01,State,2009,62475
Alabama - 01,State,2010,60050
Alabama - 01,State,2011,59354
Alabama - 01,State,2012,58448
Alabama - 01,State,2013,58167
Alabama - 01,State,2014,59422
Alabama - 01,State,2015,59657
Alabama - 01,State,2016,59151
Alabama - 01,State,2017,58941
Alaska - 02,State,2000,9974
