NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000,0.131
Abbeville County - 45001,County,2006-2010,0.146
Abbeville County - 45001,County,2013-2017,0.15
Acadia Parish - 22001,County,2000,0.11599999999999999
Acadia Parish - 22001,County,2006-2010,0.115
Acadia Parish - 22001,County,2013-2017,0.135
Accomack County - 51001,County,2000,0.146
Accomack County - 51001,County,2006-2010,0.16699999999999998
Accomack County - 51001,County,2013-2017,0.145
Ada County - 16001,County,2000,0.12300000000000001
Ada County - 16001,County,2006-2010,0.131
Ada County - 16001,County,2013-2017,0.14800000000000002
Adair County - 19001,County,2000,0.151
Adair County - 21001,County,2000,0.135
Adair County - 29001,County,2000,0.15
Adair County - 40001,County,2000,0.11599999999999999
Adair County - 19001,County,2006-2010,0.175
Adair County - 21001,County,2006-2010,0.142
Adair County - 29001,County,2006-2010,0.14800000000000002
