NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000-10,-0.035
Abbeville County - 45001,County,2010-18,-0.03
Acadia Parish - 22001,County,2000-10,0.052000000000000005
Acadia Parish - 22001,County,2010-18,0.005
Accomack County - 51001,County,2000-10,-0.133
Accomack County - 51001,County,2010-18,-0.022000000000000002
Ada County - 16001,County,2000-10,0.297
Ada County - 16001,County,2010-18,0.195
Adair County - 19001,County,2000-10,-0.066
Adair County - 21001,County,2000-10,0.083
Adair County - 29001,County,2000-10,0.027000000000000003
Adair County - 40001,County,2000-10,0.081
Adair County - 19001,County,2010-18,-0.08
Adair County - 21001,County,2010-18,0.024
Adair County - 29001,County,2010-18,-0.011000000000000001
Adair County - 40001,County,2010-18,-0.028999999999999998
Adams County - 08001,County,2000-10,0.265
Adams County - 16003,County,2000-10,0.139
Adams County - 17001,County,2000-10,-0.015
