NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,2000,0.318
Abbeville County - 45001,County,2001,0.314
Abbeville County - 45001,County,2002,0.311
Abbeville County - 45001,County,2003,0.31
Abbeville County - 45001,County,2004,0.308
Abbeville County - 45001,County,2005,0.308
Abbeville County - 45001,County,2006,0.308
Abbeville County - 45001,County,2007,0.307
Abbeville County - 45001,County,2008,0.311
Abbeville County - 45001,County,2009,0.308
Abbeville County - 45001,County,2010,0.309
Abbeville County - 45001,County,2011,0.308
Abbeville County - 45001,County,2012,0.311
Abbeville County - 45001,County,2013,0.31
Abbeville County - 45001,County,2014,0.312
Abbeville County - 45001,County,2015,0.311
Abbeville County - 45001,County,2016,0.313
Abbeville County - 45001,County,2017,0.31
Abbeville County - 45001,County,2018,0.311
